Nhãn,Name,Numbers of Comment,Features,Rating,Numbers of Rating,Price,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Chất liệu,Bảo mật,Màn hình cảm ứng,Chất liệu tấm nền,Kích thước màn hình,Độ phân giải màn hình,Công nghệ màn hình,Webcam,Khe đọc thẻ nhớ,Hệ điều hành,Wi-Fi,Bluetooth,Công nghệ âm thanh,Tính năng đặc biệt,Pin,Kích thước,Trọng lượng,Cổng giao tiếp,Tần số quét,Loại đèn bàn phím,Hãng sản xuất,Unnamed: 34,Unnamed: 5,Loại màn hình,Unnamed: 31,Socket,Độ phân giải
Gaming,Laptop Lenovo Legion Slim 5 16APH8 82Y9002YVN,0,"Màn hình 16 inch WQXGA cùng tần số quét 165Hz cực mượt mà và tự tin khi chơi game
CPU AMD Ryzen 7 7840HS đủ mạnh để xử lý mọi tác vụ, từ game nặng đến công việc đòi hỏi hiệu suất cao
GPU RTX 4060 giúp tạo ra hình ảnh đẹp và chân thực, mang đến trải nghiệm đồ họa đỉnh cao
Dung lượng RAM 16GB giúp làm việc đa nhiệm mượt mà và chơi game không bị giật lag
Ổ cứng 512 GB SSD giúp giảm thiểu thời gian khởi động hệ điều hành và tải game
",,,Giá Liên Hệ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0005VN,0,"Mang thiết kế tối ưu và di động với trọng lượng nhẹ nhàng chỉ 1.37 kg
CPU Intel Core i5-12450H mạnh mẽ, xử lý từ những tác vụ văn phòng đơn giản tới những công việc thiết kế hình ảnh
16GB RAM đa nhiệm giúp làm việc với nhiều ứng dụng mà không lo lắng giật Lag
Ổ cứng SSD 512GB cho không gian lưu trữ lớn giúp khởi động máy hay mở tệp thư mục nhanh chóng
Màn hình 14 inch Full HD đảm bảo hiển thị hình ảnh có độ sắc nét cao tới từng chi tiết
",,,14.490.000 đ,Intel UHD Graphics,"Intel Core i5-12450H (8 lõi (4P + 4E) / 12 luồng, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB)",16GB,LPDDR5-4800 Onboard,,512GB SSD M.2 2242 PCIe 4.0x4 NVMe (có thể tháo ra nâng cấp tối đa 1TB M.2 2242 SSD),Vỏ nhựa,Firmware TPM 2.0,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"Độ sáng 300nits
Màn hình chống chói",FHD 1080p với màn trập camera,Có,Windows 11 Home,"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,"Âm thanh độ phân giải cao (HD)
Loa âm thanh nổi
1.5W x2
Dolby Audio","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",47Wh,324.3 x 213.8 x 17.9 mm (W x D x H),1.37 kg,"2x USB 3.2 Gen 1
1x USB-C 3.2 Gen 1 (Truyền dữ liệu , sạc, DisplayPort 1.2)
1x HDMI 1.4
1x Đầu đọc thẻ
1x Headphone / microphone combo jack (3.5mm)
1x Đầu nối nguồn",,,,,,,,,
Sinh vien,Laptop HP Elitebook 840 G9,0,"Ngoại hình bắt mắt với tông màu bạc sang trọng, khung máy được chế tác với kim loại
Intel Core i7 1260P cùng card Intel UHD Graphics mạnh mẽ, mang đến hiệu suất cao và khả năng xử lý đa nhiệm
RAM 16 GB DDR5 cho bạn khả năng mờ nhều tab cùng lúc nhưng không lo giật lag
SSD 512GB là một không gian rộng lớn cho bạn lưu trữ tốt các video, tài liệu mình yêu thích
Kích thước 14 inch cùng độ phân giải WUXGA cho chất lượng hình ảnh sắc nét, chân thật
",,,Giá Liên Hệ,Intel UHD Graphics,"Intel Core i7 1260P (2.1 GHz, up to 4.7 GHz, 12 nhân/ 16 luồng, 18MB Cache)",16GB,DDR5 2 khe,2 Thanh RAM hỗ trợ tối đa lên 64GB,512 GB SSD NVMe PCIe,Vỏ kim loại,"Công tắc khóa camera
Bào vật vân tay",Không,Tấm nền IPS,14 inches,1920 x 1200 pixels (WUXGA),"45% NTSC
Chống chói Anti Glare
250 nits",Camera 5.0 MP,Có,Windows 11 Pro,Wi-Fi 6E,Bluetooth 5.3,Loa kép (2 kênh),"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",51 Wh 3-cell Li-ion,315.6 x 224 x 19.2 mm,1.36 kg,"2 x Thunderbolt 4 with USB-C
1 x Jack tai nghe 3.5 mm
1 x HDMI
2 x SuperSpeed USB A
1 x Khe đọc thẻ nhớ",60 Hz,Đèn đơn sắc trắng,HP,,,,,,
Gaming,Laptop Dell Gaming G15 Ryzen Edition 5515 70266674,9,"Chip AMD Ryzen 7 5800H cùng card rời RTX 3050, thoả sức trải nghiệm game AAA ở mức đồ hoạ cao
Ram 8GB + 1 khe trống cho phép nâng cấp tối đa đến 32GB, load game nhanh chóng
Màn hình Full HD kích thước chuẩn 15.6 inch, tần số quét 120Hz, tấm nền IPS khả năng hiển thị sắc nét, màu sắc chân thật cùng khả năng tái tạo chuẩn xác.
Đa dạng các cổng kết nối cổng HDMI 1.4, cổng USB C,...dễ truyền hoặc xuất dữ liệu với nhiều thiết bị khác nhau.
Năng lượng bất tận cả ngày với viên pin 4 Cells, 56WHrs.
Trọng lượng 2.5 kg - Cảm giác cầm chắc tay.
Máy đi kèm Windows 11 bản quyền.
",5.0/5,1.0,25.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Asus VivoBook 15X OLED S3504VA-L1226W,8,"Sở hữu màn hình 15.6 inch với lớp vỏ bạc thời thượng
CPU Intel Core i5 1340P hỗ trợ mình giải quyết nhanh gọn hàng loạt tác vụ văn phòng Word, Excel,...
Card Intel Iris Xe Graphics giúp giải quyết được khối lượng công việc nhiều hơn
RAM 16GB cùng ổ cứng 512 GB SSD ch không gian lưu trữ đủ lớn, lưu trữ tài liệu, hình ảnh,...
Đạt độ bền chuẩn quân đội MIL STD 810H gia tăng tuổi thọ và độ bền bỉ cho máy
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Intel Evo Dell Inspiron 7000,23,"Chip Intel Core i5-1135G7 xung nhịp tối đa lên đến 4.2ghz, lướt web hay làm việc văn phòng đều rất mượt mà
Ổ cứng SSD 512GB - Tốc độ khởi động máy cực nhanh
Màn hình Full HD kích thước 13.3 inch, tần số quét 60Hz mang lại chất lượng hiển thị sắc nét.
Tích hợp webcam 720p HD cho phép đàm thoại thông qua video thoải mái.
Thiết kế mỏng nhẹ - chỉ 1,3 kg, đồng hành cùng bạn khắp mọi nơi.
Máy đi kèm Windows 10 bản quyền.
",,,19.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Dell Vostro 3520,10,"CPU Intel Core i5 1235U xử lý mượt mà các tác vụ thường ngày như lướt web, soạn thảo săn bản, xem phim, giải trí,...
RAM 8 GB đủ để sử dụng cho các tác vụ học tập, làm việc văn phòng
Ổ cứng SSD 512 GB cho tốc độ đọc, ghi cao, rút ngắn đáng kể thời gian phản hồi
Màn hình lớn 15.6 inch Full HD cho góc nhìn rộng lớn với chất lượng hình ảnh hiển thị rõ nét, trung thực
Hỗ trợ đầy đủ cổng giao tiếp: USB 3.2, HDMI, jack tai nghe 3.5 mm, LAN (RJ45),... hỗ trợ kết nối thuận tiện
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaming,Laptop MSI Gaming Bravo 15 B7ED-010VN,13,"Chip AMD Ryzen 5 - 7535HS xử lý nhanh chóng các tác vụ như văn phòng, đồ hoạ, coding hay chiến game
GPU AMD Radeon RX 6550M 4 GB cho đồ hoạ cao, mượt mà và ổn định ở các pha giao tranh
RAM 16 GB cho phép máy vận hành mượt mà, mở cùng lúc nhiều tác vụ
Ổ cứng 512 GB hỗ trợ khởi động laptop, truy xuất dữ liệu nhanh hơn
Tần số quét 144 Hz giúp hình ảnh không bị rách hay nhoè mờ khi chơi game
",,,16.990.000 đ,,"AMD Ryzen 5 - 7535HS (6 lõi / 12 luồng, 3.30 GHz, Turbo Boost 4.55 GHz, 16 MB)",16GB,DDR5 4800 MHz,"(2 thanh 8 GB, nâng cấp tối đa 64 GB)","512 GB SSD NVMe PCIe Gen 4.0
(Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng)",Vỏ nhựa,TPM 2.0,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Độ phủ màu 45% NTSC,HD webcam,,Windows 11 Home SL,Wi-Fi 6E (802.11ax),Bluetooth 5.3,Hi-Res Audio,"Ổ cứng SSD, Wi-Fi 6","3 cell, 53.5 Wh",359 x 259 x 24.95 mm (Dài x Rộng x dày),2.25 kg,"1x USB Type-C (hỗ trợ USB 3.2, DisplayPort)
1x USB 2.0
1x Jack tai nghe 3.5 mm
2 x USB 3.2
1x HDMI
1x LAN (RJ45)",144 Hz,Đơn sắc - Màu xanh,,,"AMD Radeon RX 6550M, 4 GB",,,,
Van phong,Laptop Lenevo Ideapad 3 14ITL6,104,"Thiêt kế thời thượng, nặng chỉ 1.4kg - Dễ dàng mang theo
Mở khoá vân tay 1 chạm - Giúp mở máy nhanh chóng hơn
Trò chuyện thông qua video call với webcam 720p tích hợp
Xử lý mượt mà các tác vụ văn phòng, học tập - 8GB Ram, chip Core i5-1135G7
",,,15.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Lenovo Ideapad 3 14ITL6 82H4005QVN,0,"512GB SSD + 1 khe hdd Sata - Khởi động nhanh hơn
4GB Ram onboard + 1 khe 4GB - Cho khả năng nâng cấp tối đa 12GB
Màn hình full HD, chống chói - cho tầm nhìn rộng, hiển thị rõ ràng
Thiết kế trẻ trung năng động - Vỏ nhựa hạn chế bám dấu vân tay
",,,15.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
